"RECORD #(BIBLIO)"	"UPDATED(BIBLIO)"	"245"	"246"	"530"	"538"	"590"	"690"	"856"
"b14483002"	"09-04-2007"	"The Internet movie database [electronic resource]"	"Formerly known as: Cardiff movie database"|"IMDb"	""	"Available via Internet, http://www.imdb.com/"	"Searchable movie database for international films and TV shows produced in the U.S., Canada, and the U.K. Coverage: 1892 - current"	"Film"|"Television"	"View online http://www.imdb.com/"
"b14544660"	"06-15-2011"	"Encyclopedia of life sciences / [publishing director, Gina Fullerlove]"	""	"Available via Internet, http://www.els.net/"	""	"Features signed, peer-reviewed entries covering cell, molecular, and structural biology, microbiology, genetics, neuroscience, and plant science. Coverage: varies"	"Agriculture and forestry"|"Biology"|"Environmental sciences"|"Natural sciences"|"Psychology"|"Sport science"	"View online version http://0-www.els.net.tiger.coloradocollege.edu/"
"b14547284"	"06-29-2007"	"BioOne [electronic resource]"	"Bio One"|"Bio1"	""	"Available via Interent, http://www.bioone.org/"|"System requirements: Adobe Acrobat Reader"	"An aggregation of full-text research journals including biological, ecological and environmental sciences published by small scholarly societies. Peer-reviewed. Coverage: 1998 - current"	"Agriculture and forestry"|"Biology"|"Environmental sciences"|"Natural sciences"|"Sport science"	"View online http://0-www.bioone.org.tiger.coloradocollege.edu/"
"b14619945"	"01-30-2013"	"AccuNet/AP multimedia archive [electronic resource]"	"Associated Press multimedia archive"|"AP multimedia archive"|"Colorado College: AP images"	""	"Available via Internet, http://search.ebscohost.com/Community.aspx?authtype=ip&authpid=apic"	"Over one million photographs provided by the Associated Press. Coverage: 1826 - current"	"Art"|"History"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/Community.aspx?authtype=ip&authpid=apic"
"b14634028"	"08-19-2008"	"FedBizOpps [electronic resource] : federal business opportunities"	"Federal business opportunities"|"FBO"	""	"Mode of access: Internet from the FedBizOpps web site. Address as of 2/26/02: http://www.fedbizopps.gov/; current access is available via PURL"	"Access  for government-wide Federal procurement opportunities that exceed $25,000."	"Government information"	"View online http://purl.access.gpo.gov/GPO/LPS17708"
"b15547504"	"04-29-2008"	"UN Statistics Division common database [electronic resource]"	"UNSTATS"|"UN common database"|"United Nations common database"	""	"Available via Internet, http://unstats.un.org/unsd/databases.htm"	"Statistical compilation for the United Nations. Contains selected data series from 30 specialized international sources, including labor, agricultural, nutritional and industrial statistics. Years of coverage vary with data series/countries selected. Coverage: 1958 - current"	"Economics and business"|"Government information"|"Political science"|"Sociology"	"View online http://unstats.un.org/unsd/databases.htm"
"b15570113"	"01-16-2009"	"The world Shakespeare bibliography [electronic resource]"	"World Shakespeare bibliography online"	""	"Available via Internet, http://www.worldshakesbib.org/"	"Provides annotated entries for all important books, articles, book reviews, dissertations, theatrical productions, reviews of productions, audiovisual materials, electronic media, and other scholarly and popular materials related to Shakespeare. Coverage: 1962 - current"	"Comparative literature"|"Drama and Dance"|"English language and literature"	"View online http://0-www.worldshakesbib.org.tiger.coloradocollege.edu/"
"b1557068x"	"03-19-2009"	"GeoRef [electronic resource]"	"Geo ref"	"Also available in CD-ROM and other online editions"	"Available via Internet, http://search.ebscohost.com/login.asp?profile=web&defaultdb=geh"	"A comprehensive geoscience database covering subjects such as mineralogy and crystallography, general mineralogy, mineralogy of silicates, and mineralogy of non-silicates. Geology of North America is covered from 1785 to the present, and geology of the world is covered from 1933 to the present. Coverage: 1785 - current"	"Agriculture and forestry"|"Environmental sciences"|"Geology"|"Government information"|"Natural sciences"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.asp?profile=web&defaultdb=geh"
"b15570708"	"03-19-2009"	"EconLit [electronic resource]"	"Econ Lit"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ecn"	"Covers over 400 economics periodicals. Coverage: 1969 - current"	"Economics and business"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ecn"
"b15572791"	"03-09-2009"	"MLA international bibliography [electronic resource]"	"Modern Language Association international bibliography"|"MLA bibliography"	"Also available in print and CD-ROM editions"	"Available via Internet, http://search.ebscohost.com/login.asp?profile=web&defaultdb=mzh"	"Literature, languages, linguistics, and folklore from over journals and series published worldwide. Coverage: 1963 - current"	"Anthropology"|"Chinese language and literature"|"Communication"|"Comparative literature"|"Drama and Dance"|"English language and literature"|"Film"|"French language and literature"|"German language and literature"|"Italian language and literature"|"Japanese language and literature"|"Russian language and literature"|"Russian and Eurasian studies"|"Spanish language and literature"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.asp?profile=web&defaultdb=mzh"
"b15626623"	"04-18-2011"	"L'année philologique [electronic resource] : APh"	"Colorado College: Année philologique on the Internet"|"Also called: APh on line"|"APh"|"Année philologique"	""	"Available via Internet, http://www.annee-philologique.com/aph/"	"Standard index to monographs, journals and essay collections in classics (Ancient Greek and Roman language, literature, history and religion), covering essentially all books and about 1,500 periodicals published each year in English, French, German, Italian, Spanish, Russian and Japanese. Citations only, in English or French. Coverage: 1969 - current"	"Classics"|"Comparative literature"|"Philosophy"	"View online http://0-www.annee-philologique.com.tiger.coloradocollege.edu/aph/"
"b15636835"	"02-08-2013"	"Anthropological literature [electronic resource] : ANL"	"ANL"|"Anthropological literature online"	""	"Availablve via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=anl"	"Indexes articles from approximately 900 journals in the fields of anthropology and archaeology. Coverage:  Late 19th century - current"	"Anthropology"|"Archaeology"	"View online version http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=anl"
"b15700872"	"04-04-2012"	"Annual reviews"	""	""	"Available via Internet, http://www.AnnualReviews.org"	"Online access to 20 Annual Reviews series covering biomedical sciences, physical sciences, and social sciences. Please note: we subscribe to a subset of the Annual Reviews, and may not have access to the earliest volume for each title. Coverage: 1990's - current"	"Agriculture and forestry"|"Anthropology"|"Biology"|"Chemistry"|"Computer science"|"Environmental sciences"|"Geology"|"Mathematics"|"Natural sciences"|"Physics"|"Psychology"	"View online http://0-www.AnnualReviews.org.tiger.coloradocollege.edu"
"b15759593"	"08-18-2010"	"USA trade online [electronic resource]"	""	""	"Mode of access: Internet from the USA trade online web site. Address as of 3/24/03: http://www.usatradeonline.gov/ ; current access is available via PURL"	"Official Source for U.S. Merchandise Trade Data: current and cumulative U.S. export and import data for over 18,000 export commodities and 24,000 import commodities; provides trade statistics using the Harmonized System (HS) up to the 10-digit level and the North American Industry Classification System (NAICS) commodity classification codes up to the 6-digit level."	"Government information"	"View online - Password required, access available at no charge to depository libraries http://purl.access.gpo.gov/GPO/LPS28231"
"b15831723"	"07-07-2011"	"SBRnet [electronic resource] : sports business research network"	"Colorado College: Sports business research network"	""	"Available via Internet, http://www.sbrnet.com/"	"Combines market research, full-text articles, and news on the sporting goods and sports marketing industry. Coverage: 1995 - current"	"Economics and business"|"Sport science"	"View online http://0-www.sbrnet.com.tiger.coloradocollege.edu/"
"b15850481"	"05-10-2011"	"SPORTdiscus [electronic resource]"	"SPORT discus"	"Corresponds to the print: Sport bibliography"	"Available via Internet, http://search.ebscohost.com/login.asp?profile=web&defaultdb=s3h"|"System requirements: Web browser"	"Covering all aspects of sport, fitness, recreation, and related fields. Coverage: 1975 - current"	"Biology"|"Economics and business"|"Natural sciences"|"Sport science"	"http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.asp?profile=web&defaultdb=s3h View online"
"b15878466"	"04-07-2010"	"ACS Journals [electronic resource]"	"Colorado College: American Chemical Society journals"	""	"Available via Internet, http://pubs.acs.org/about.html"|"Available in Adobe Acrobat PDF formats for the years 1995 and back and in the standard Internet formats of HTML and Adobe Acrobat PDF from 1996 forward"	"Full text articles from 30 American Chemical Society magazines and peer-reviewed journals back to Volume 1 of each journal. Comprehensive coverage of chemistry and related sciences. Coverage: varies"	"Natural sciences"|"Chemistry"	"View online http://0-pubs.acs.org.tiger.coloradocollege.edu/about.html"
"b15878508"	"09-02-2010"	"Social sciences abstracts [electronic resource]"	"Social science abstracts"	"Also issued on CD-ROM"|"Online version of monthly print serial, Social sciences index"	"Available via Internet, http://search.ebscohost.com/login.asp?profile=web&defaultdb=qsh"|"System requirements: Web browser with Internet connectivity"	"International, English-language periodicals in sociology, anthropology, geography, economics, political science, and law.  Broader coverage than SocIndex. Coverage: 1983 - current."	"Anthropology"|"Book reviews"|"Communication"|"Economics and business"|"Feminist and gender studies"|"Political science"|"Sociology"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.asp?profile=web&defaultdb=qsh"
"b15917344"	"10-21-2011"	"The Music index"	""	"Available via Internet,http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=mah"	""	"Indexes over 670 international music periodicals, covering a broad range of subjects. Good subject headings for searches; citations only. Coverage: 1979 - current"	"Drama and Dance"|"Music"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=mah"
"b15917587"	"01-12-2012"	"Readers' guide retrospective [electronic resource]"	""	""	"System requirements: Internet connectivity, World Wide Web browser"|"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=rgr"	"The premier index to popular periodicals. No full text links, but Tutt owns a large percentage of the magazines/journals indexed by this resource. Continued by Readers Guide Abstracts. Coverage: 1890 - 1982."	"History"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=rgr"
"b15918762"	"08-01-2012"	"Colorado newsstand [electronic resource]"	"At head of title: ProQuest"|"ProQuest newsstand"|"Colorado news stand"|"News stand"	""	"Available via Internet, http://search.proquest.com/coloradonews/advanced?accountid=10222"	"Searchable full-text database of articles from Colorado newspapers including the Gazette (Colorado Springs), the Denver Post, the Rocky Mountain News, and six others. Coverage: 1986 - current"	"History"|"Southwest studies"	"View online http://0-search.proquest.com.tiger.coloradocollege.edu/coloradonews/advanced?accountid=10222"
"b15984047"	"01-30-2013"	"JSTOR [electronic resource]"	"Journal storage"	"Online versions of the print publications"	"Mode of access: World Wide Web via the Internet"|"System requirements: Graphical World Wide Web browser software; appropriate software is needed to print PDF, PostScript, and TIFF formats"|"Available via Internet, http://www.jstor.org/jstor"	"Archival access to many scholarly periodicals. Some titles include current issues while others have a  moving wall  imposed on them. Coverage: late 1800's - most recent 0-5 years"	"Anthropology"|"Archaeology"|"Asian studies"|"Classics"|"Economics and business"|"English language and literature"|"History"|"Music"|"Political science"|"Sociology"|"Southwest studies"|"Book reviews"	"View online - JSTOR http://0-www.jstor.org.tiger.coloradocollege.edu/action/showAdvancedSearch"|"View online - Alphabetical list of journals http://0-www.jstor.org.tiger.coloradocollege.edu/browse?alphaList=1&config=jstor&frame=noframe&userID=814f26cf@indiana.edu/018dd5531e0050836ef4&dpi=3"|"View online - Subject list of journals http://0-www.jstor.org.tiger.coloradocollege.edu/browse?alphaList=0&config=jstor&frame=noframe&userID=814f26cf@indiana.edu/018dd5531e0050836ef4&dpi=3"
"b15995549"	"02-12-2013"	"Oxford University Press journals"	""	""	"http://www.oupjournals.org/"	"A searchable collection of full text periodicals. Scholarly sources. Coverage: varies; usually late 1990's - current"	"English language and literature"	"View online http://0-www.oupjournals.org.tiger.coloradocollege.edu/"
"b16019246"	"04-29-2008"	"Inter-University Consortium for Political and Social Research [electronic resource] : social science data and resources for researchers / ICPSR"	"Social science data and resources for researchers"|"Title from HTML header: About ICPSR"|"Colorado College: ICPSR"|"Former title: ICPSR homepage"|"ICPSR (online)"	""	"Available via Internet, http://www.icpsr.umich.edu/"	"Provides large data sets such as public opinion polls, attitude surveys, health information, results of research projects. Data may require use of specialized software such as SPSS or SAS. Coverage: N/A"	"Economics and business"|"Government information"|"Political science"|"Sociology"	"View online http://www.icpsr.umich.edu/"
"b16028569"	"10-05-2012"	"General science abstracts [electronic resource]"	"Originally issued in electronic form with title: General science index"	"Database version of the print publication: General science index"	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=nrh"	"Covers such subjects as anthropology, astronomy, biology, computers, earth sciences, mathematics, medicine and health, and much more. Coverage: 1984 - current"	"Agriculture and forestry"|"Anthropology"|"Archaeology"|"Biology"|"Chemistry"|"Computer science"|"Geology"|"Mathematics"|"Natural sciences"|"Physics"|"Sport science"	"View online - EBSCOhost http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=gsa"
"b16028648"	"06-04-2012"	"Education abstracts [electronic resource]"	"Wilson education abstracts"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=eax"	"Subjects include administration, teaching methods and curriculum, literacy, government funding, and more. Coverage: 1983 - current"	"Education"	"View online - EBSCOhost http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=eax"
"b16028673"	"01-12-2012"	"Readers guide abstracts [electronic resource]"	""	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=rga"	"Popular periodicals published in the U.S. and Canada. 1983-current. Coverage: 1983 - current"	""	"View online - EBSCOhost http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=rga"
"b1602946x"	"12-12-2011"	"Iter [electronic resource] : gateway to the Middle Ages and Renaissance"	"Gateway to the Middle Ages and Renaissance"	""	"System requirements: Internet access; WWW browser software"|"Available via Internet, http://www.itergateway.org/"	"Covers all literature pertaining to the Middle Ages and Renaissance (400-1700). Citations for journal articles, reviews, review articles, bibliographies, catalogues, abstracts and discographies are included. Also included are citations for monographs, and material published in monographs and collections of essays. Coverage: 1943 - current"	"English language and literature"|"History"	"View online http://0-www.itergateway.org.tiger.coloradocollege.edu/"
"b16045567"	"01-30-2013"	"Project Muse [electronic resource] : scholarly journals online"	""	""	"Available via Internet, http://muse.jhu.edu/"	"Project Muse Standard Collection of core scholarly titles from John Hopkins University. Offers current and back issues. Please note: we do not subscribe to the Premium Collection. We have access to most, but not all, Project Muse titles. Coverage: varies."	"Asian studies"|"English language and literature"|"History"|"Political science"	"View online - Project Muse http://0-muse.jhu.edu.tiger.coloradocollege.edu/browse/titles/all?browse_view_type=list&limit_content_type=journal#limit_access=valid"
"b16053035"	"12-10-2010"	"The American Civil War [electronic resource] : letters and diaries"	""	""	"Available via Internet, http://solomon.cwld.alexanderstreet.com/"	"100,000+ pages of diaries, letters and memoirs by 2000+ authors.  Includes many previously unpublished manuscripts.   Organized for detailed browsing and searching. Some materials are cross-searchable under Social and Cultural History. Coverage: 1848 - 1897"	"History"|"North American studies"	"View online http://0-solomon.cwld.alexanderstreet.com.tiger.coloradocollege.edu/"
"b16053047"	"12-10-2010"	"American film scripts [electronic resource]"	""	""	"Available via Internet, http://solomon.afso.alexanderstreet.com/"	"American Film Scripts Online contains over 1000 scripts, together with detailed, fielded information on the scenes, characters and people related to the scripts. In addition, the database includes facsimilie images for more than 500 of these screenplays. Many of the scripts have never been published before, and some scripts were never produced. Coverage: 1903 - current"	"English language and literature"|"Film"	"View online http://0-solomon.afso.alexanderstreet.com.tiger.coloradocollege.edu/"
"b16053059"	"12-10-2010"	"Asian American drama [electronic resource]"	""	""	"Available via Internet, http://solomon.aadr.alexanderstreet.com/"	"250+ plays (some never before published) by 40+ authors together with detailed, indexed information on related productions, theaters, production companies, and more. Cross-searchable under North American Theater Online. Coverage: 1891 - current"	"Asian studies"|"Drama and Dance"|"English language and literature"|"Race and Ethnic Studies"	"View online http://0-solomon.aadr.alexanderstreet.com.tiger.coloradocollege.edu/"
"b16053060"	"09-15-2011"	"Black thought and culture [electronic resource] : African Americans from Colonial times to the present"	"Subtitle <June 16, 2003>: African Americans to 1975"|"Title from HTML source: BLTC"|"Title on internal pages: Black thought & culture"	""	"Available via Internet, http://solomon.bltc.alexanderstreet.com/"	"Black Thought and Culture contains 1,200+ sources covering the non-fiction published works of leading African Americans.  Includes non-fiction works, interviews, journal articles, speeches, essays, pamphlets, letters and other fugitive material.  Also includes the Black Panther newspaper from 1967-1980. Allows for advanced browsing and searching by author, race, gender, year, subject, nationality, etc.  Some materials are cross-searchable under Social and Cultural History. Coverage:  1700 - 2006"	"English language and literature"|"History"|"North American studies"|"Race and Ethnic studies"	"View online http://0-solomon.bltc.alexanderstreet.com.tiger.coloradocollege.edu/"
"b16053102"	"12-10-2010"	"North American immigrant letters, diaries, and oral histories [electronic resource]"	""	""	"Available via Internet, http://solomon.imld.alexanderstreet.com/"	"100,00 pages of letters, diaries, oral histories, interviews and other personal narratives by 2,000+ authors.  Some audio recordings are available.  Material is organized for advanced browsing and searching.  Some materials are cross-searchable under Social and Cultural History. Coverage: 1784 - 2004"	"History"|"North American studies"|"Race and Ethnic Studies"|"Southwest studies"	"View online http://0-solomon.imld.alexanderstreet.com.tiger.coloradocollege.edu/"
"b16053114"	"12-10-2010"	"Early encounters in North America [electronic resource] : peoples, cultures, and the environment"	"EENA"|"Jesuit relations and allied documents"	""	"Available via Internet, http://eena.alexanderstreet.com/"|"System requirements: Internet access and World Wide Web browser"	"Full text works by 1,400+ authors in the form of letters, diaries, memoirs and accounts of early encounters between American Indians, Europeans, Americans, and Africans in all areas of North America.  Offers advanced searching and browsing of people, events, flora, fauna and more. Coverage: 1474 - 1800's"	"History"|"North American studies"|"Race and Ethnic Studies"|"Southwest studies"	"View online http://0-eena.alexanderstreet.com.tiger.coloradocollege.edu/"
"b16079206"	"05-27-2008"	"PsycARTICLES [electronic resource]"	"Psyc articles"|"At head of title: EBSCOhost research databases"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=pdh"	"Full text articles on current issues in psychology, general psychology, and specialized, basic, applied, clinical and theoretical research in psychology, covering journals published by the American Psychological Association and other allied organizations. NOTE: You can search both PsycINFO and PsycARTICLES at the same time. Contact Reference Desk x6662. Coverage: 1988 - current"	"Education"|"Feminist and gender studies"|"Health and medicine"|"Natural sciences"|"Psychology"|"Sport science"	"http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=pdh View online"
"b16084524"	"06-15-2011"	"The Gallup brain [electronic resource]"	"Gallup organization brain"|"Gallup poll"	""	"Available via Internet, http://institution.gallup.com/"	"A searchable, living record of more than 60 years of public opinon. Find answers to more than 125,000 questions and responses from more than 3.5 million people interviewed by The Gallup Poll since 1935. Coverage: 1935 - current"	"Political science"|"Sociology"	"View online http://0-institution.gallup.com.tiger.coloradocollege.edu/"
"b16097063"	"03-26-2012"	"Colorado historic newspaper collection [electronic resource]"	"HTML source title: Colorado historical newspaper collection--Project site <2004>"|"Also called: CHNC"	""	"Available via Internet, http://www.coloradohistoricnewspapers.org/"|"System requirements: Internet connectivity and browser software. Optimized for Microsoft Internet Explorer 5.0 (and above) for Microsoft Windows"	"Search historic Colorado newspapers from cities and counties throughout the state, published in English and other languages. The database includes digital versions of newspapers found on microfilm at the Colorado Historical Society's Stephen H. Hart Library that were published between 1859 and 1928. New material is usually added once a month. Some issues of the Colorado Springs Gazette are included. Coverage: 1859 -"	"History"	"http://www.coloradohistoricnewspapers.org/ View online"
"b16097294"	"08-19-2008"	"Energy citations database [electronic resource] : 1948-present"	"Title from HTML source code header: Energy citations database (ECD)--energy and energy-related bibliographic citations"|"ECD"|"Energy and energy-related bibliographic citations"	""	"Mode of access: Internet from the OSTI web site. Address as of 2/26/04: http://www.osti.gov/energycitations/; current access is available via PURL"	"Access to science research citations and electronic documents of scientific and technical research results in disciplines of interest to DOE such as chemistry, physics, materials, environmental science, geology, engineering, mathematics, climatology, oceanography, computer science and related disciplines. It includes bibliographic citations to report literature, conference papers, journal articles, books, dissertations, and patents; primarily from 1943 forward."	"Government information"	"View online http://purl.access.gpo.gov/GPO/LPS21457"
"b16180343"	"07-13-2011"	"Communication & mass media complete [electronic resource]"	"Communication and mass media complete"|"About page added title: CMMC"	""	"Available via Internet, http://search.ebscohost.com/login.asp?profile=web&defaultdb=ufh"	"Covers all areas of communication and mass media. Includes full text for over 200 titles and citations to research journals, as well as major journalism reviews, recent encyclopedias, and handbooks in the area of communications studies. Some journals are indexed back as far as the early decades of the 20th century. Coverage: Early 20th century - current"	"Communication"|"Television"	"View online version http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.asp?profile=web&defaultdb=ufh"
"b16204803"	"08-01-2012"	"Los Angeles times (Historical) [electronic resource]"	"Historical Los Angeles times 1886-1984"|"Historical Los Angeles daily times 1886-1984"|"Proquest Los Angeles times"	""	"Available via Internet, http://search.proquest.com/hnplatimes/advanced?accountid=10222"|"Available via Internet, http://web.lexis-nexis.com/universe"	"Provides complete, full-image access to historical articles from the Los Angeles Times from its inception. For current online articles, use Lexis-Nexis Academic Universe. Coverage: 1881 - 1988."	"History"|"Political science"	"View online - Articles from 1881 -  http://0-search.proquest.com.tiger.coloradocollege.edu/hnplatimes/advanced?accountid=10222"|"View online - Current articles http://0-web.lexis-nexis.com.tiger.coloradocollege.edu/universe"
"b16214705"	"06-15-2011"	"ARTFL project, University of Chicago [electronic resource]"	"ARTFL"|"ARTFL : American research on the treasury of the French language"	""	"Available via Internet, http://humanities.uchicago.edu/orgs/ARTFL/"	"Consists of nearly 2000 French texts. Subjects include literary criticism, biology, history, economics, and philosophy. Genres include novels, verse, theater, journalism, essays, correspondence, and treatises. The 18th, 19th and 20th centuries are about equally represented, with a smaller selection of 17th century texts as well as some medieval and Renaissance texts. Coverage: Medieval to 20th Century"	"Comparative literature"|"English language and literature"|"French language and literature"|"Philosophy"|"Political science"	"http://0-humanities.uchicago.edu.tiger.coloradocollege.edu/orgs/ARTFL/ View online"
"b16223780"	"04-23-2009"	"ARTstor [electronic resource]"	"ART stor"	""	"Available via Internet, http://www.artstor.org/"	"Hundreds of thousands of digital images with descriptive information covering painting, sculpture, photography, decorative arts, architecture, and design, as well as many other forms of worldwide visual culture. Save groups of images for later use in ARTstor, or download or print to use in class projects, presentations, and papers. First-time users must register for an account from a computer on campus. Coverage: Prehistory - current"	"Art"	"View online version - ARTstor http://www.artstor.org/"
"b16230930"	"03-19-2009"	"Early English books online [electronic resource]"	"EEBO"	""	"Available via Internet, http://eebo.chadwyck.com/home"	"Contains the full text of over 100,000 English books, pamphlets, and more, from the first book published in English through the age of Spenser and Shakespeare. Coverage: 1475 - 1700"	"Drama and Dance"|"English language and literature"|"History"|"Philosophy"	"View online http://0-eebo.chadwyck.com.tiger.coloradocollege.edu/home"
"b16322095"	"08-19-2008"	"ERIC database [electronic resource]"	"Title appears on home page as: Welcome to the ERIC database"|"Title on title bar: Education Resources Information Center : ERIC"|"ERIC"	""	"Mode of access: Internet from the U.S. Dept. of Education Web site. Address as of 09/29/04: http://www.eric.ed.gov/; current access is available via PURL"	" Bibliographic records of journal articles and other education-related materials, with hundreds of new records added twice weekly."	"Government information"	"View online http://purl.access.gpo.gov/GPO/LPS54302"
"b16331187"	"02-22-2013"	"Mergentonline [electronic resource]"	"Mergent online"|"Previously titled: FISOnline"	""	"Available via Internet, http://www.mergentonline.com/compsearch.asp"	"U.S. and International company and industry information. 15 year financial backfile. Reports can be downloaded into Excel. Coverage: 1989 - current"	"Economics and business"	"View online http://0-www.mergentonline.com.tiger.coloradocollege.edu/compsearch.asp"|"To download large data sets, please use on campus with this URL:  http://www.mergentonline.com/compsearch.asp"
"b16403356"	"08-07-2007"	"IoP electronic journals [electronic resource]"	"I o P electronic journals"|"Institute of Physics electronic journals"|"Title from HTML header: Electronic journals from the Institute of Physics publishing"|"IOP archives"|"Colorado College: Institute of physics historic archive"	""	"Available via Internet, http://www.iop.org/EJ/search"	"Full text articles of over 70 journals from their inception, dealing with all areas of physics, pure and applied. Coverage: 1874 - current"	"Natural sciences"|"Physics"	"View online - IOP Archives http://0-www.iop.org.tiger.coloradocollege.edu/EJ/search"
"b16456130"	"08-16-2011"	"Physical review online archive [electronic resource] : PROLA"	"Colorado College: PROLA"	""	"Available via Internet, http://prola.aps.org/search"	"PROLA is the Physical Review Online Archive, which includes the full-text of articles from Physical Review Letters, Reviews of Modern Physics, and the Physical Review series from their inception up to the most recent 3 years. Coverage: 1893 - most recent 3 years"	"Natural sciences"|"Physics"	"View online - Current three years before current year http://0-prola.aps.org.tiger.coloradocollege.edu/search"
"b16485609"	"08-01-2012"	"PAIS International [electronic resource]"	""	"Also available in a print edition, and multiple electronic versions online and ondisc"	"Available via Internet, http://search.proquest.com/pais/advanced?accountid=10222"	"Articles, books, conference proceedings, government documents, book chapters, and statistical directories about public affairs. Coverage: 1915 - current"	"Economics and business"|"Government information"|"Political science"	"View online http://0-search.proquest.com.tiger.coloradocollege.edu/pais/advanced?accountid=10222"
"b16544936"	"10-21-2011"	"In the first person [electronic resource] : an index to letters, diaries, oral histories and personal narratives"	"First person"|"FIRP"	""	"Available via Internet, http://www.inthefirstperson.com/"	"Find primary-source, first person accounts such as oral histories, diaries, etc. Indexes Alexander Street databases (via CC subscription) and material freely available on the Web. Coverage: mostly 19th and 20th century"	"History"	"View online http://0-www.inthefirstperson.com.tiger.coloradocollege.edu/"
"b16561879"	"10-21-2011"	"SocINDEX [electronic resource]"	"Sociological index"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=sih"	"Indexes core sociology journals dating back to 1895. More focused on sociology as a discipline than Sociological Abstracts. Coverage: 1895 - current"	"Anthropology"|"Communication"|"Feminist and gender studies"|"Sociology"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=sih"
"b16634470"	"08-28-2009"	"Stanford encyclopedia of philosophy [electronic resource]"	""	""	"Available via Internet, http://plato.stanford.edu/contents.html"	"Hundreds of entries on philosophers and philosophical topics, written and updated by experts in the field. Coverage: N/A"	"Philosophy"	"View online http://plato.stanford.edu/contents.html"
"b16658954"	"02-12-2013"	"Sage full text journal collections"	""	""	"Available via Internet, http://online.sagepub.com/"	"Communications, Criminology, Education, Nursing, Management, Material Science, Politics, Psychology, Sociology, Urban Studies periodical collections. Coverage: N/A"	""	"View online http://0-online.sagepub.com.tiger.coloradocollege.edu/"
"b16658966"	"05-18-2011"	"SpringerLink journals"	"Springer and Kluwer journals"	""	"Available via Internet, http://www.springerlink.com/journals/"	"A full-text database for journals and books published by Springer. SpringerLink currently offers over 1,250 fully peer-reviewed journals and more than 10,000 books online."	""	"View online http://0-www.springerlink.com.tiger.coloradocollege.edu/journals/"
"b16675629"	"03-20-2012"	"Biennial report to Congress on the status of GPO Access [electronic resource] / a service of the U.S. Government Printing Office"	"GPO Access"|"Web page listing title: GPO Access Biennial Report"	""	"System requirements: Adobe Acrobat Reader (for issues in PDF version)"|"Mode of access: Internet at the GPO Access web site. Address as of 1/2/01: http://www.access.gpo.gov/su%5Fdocs/aces/biennial/index.html ; current access is available via PURL"	"GPO Access Biennial Report includes a description of the functions of the GPO service, including a statement on cost savings in comparison with other forms of information distribution."	"Government information"	"View online http://purl.access.gpo.gov/GPO/LPS169"
